Front,Back
"What problem does Docker solve?","Docker addresses the ""Matrix from Hell"" - compatibility issues between different application components their dependencies and the underlying operating system."
"What are the key problems in the ""Matrix from Hell"" scenario?","Setting up end-to-end application stacks with multiple technologies compatibility issues with OS versions dependency conflicts (one service needs library v1 another needs v2) architecture changes requiring compatibility re-checks difficult developer onboarding with complex setup instructions and environment differences between development test and production."
"How does Docker solve the ""Matrix from Hell"" problem?","Each component runs in a separate container with its own dependencies all containers share the same VM and OS but have isolated environments one-time Docker configuration with simple docker run command for all developers and consistent behavior across all environments."
"What are the layers in Docker container architecture from top to bottom?","Application + Dependencies Container Layer (writable) Docker Image Layers (read-only) Docker Engine Operating System Hardware Infrastructure."
"What are the layers in Virtual Machine architecture from top to bottom?","Application + Dependencies Guest Operating System (full OS) Hypervisor (ESX Hyper-V) Host Operating System Hardware Infrastructure."
"What is the size difference between containers and virtual machines?","Containers are in megabytes while virtual machines are in gigabytes."
"What is the startup time difference between containers and virtual machines?","Containers start in seconds while virtual machines start in minutes."
"How does resource usage differ between containers and virtual machines?","Containers are lightweight with shared kernel while VMs are heavy with full OS per VM."
"How does isolation differ between containers and virtual machines?","Containers provide process-level isolation with shared kernel while VMs provide complete isolation with separate kernels."
"What is the OS compatibility constraint for containers vs VMs?","Containers must match host kernel (Linux containers on Linux) while VMs can run different OS types."
"What critical limitation do containers have regarding the OS kernel?","Containers share the underlying OS kernel - Linux containers require a Linux kernel Windows containers require a Windows kernel and you cannot run Windows containers on a Linux host without a Windows VM."
"What are containers?","Containers are completely isolated environments with their own processes network interfaces and mounts but they all share the same OS kernel."
"What are the three container types mentioned?","LXC (LinuX Containers) LXD and LXCFS."
"What is Docker's role in containerization?","Docker utilizes LXC containers but provides a high-level interface with powerful functionalities making containers easy to use."
"What are the two main components of an operating system?","OS Kernel (interacts with underlying hardware) and Software Layer (UI drivers compilers file managers developer tools)."
"What do different Linux distributions (Ubuntu Fedora SUSE CentOS) have in common?","They all use the Linux kernel - the difference is in the software layer above the kernel."
"Why can a Docker host with Ubuntu run containers based on Ubuntu Debian Fedora and CentOS?","Because they all share the Linux kernel. The Docker container only includes the additional software that differentiates the distributions."
"Why won't ""docker run windows-server"" work on a Linux Docker host?","Windows containers require a Windows kernel and must run on Windows Server with Docker."
"What are the two editions of Docker?","Community Edition (CE) which is free and Enterprise Edition (EE) which is paid with additional features."
"What is included in Docker Community Edition?","Free Docker products available on Linux Mac Windows AWS and Azure."
"What additional features does Docker Enterprise Edition provide?","Certified and supported container platform image management image security Universal Control Plane and container runtime orchestration."
"What are the prerequisites for installing Docker on Ubuntu?","64-bit system and supported Ubuntu versions (Cosmic Bionic or Xenial)."
"What command checks your Ubuntu version?","cat /etc/lsb-release"
"What command removes old Docker versions before installation?","sudo apt-get remove docker docker-engine docker.io containerd runc"
"What are the two commands to install Docker via convenience script?","curl -fsSL https://get.docker.com -o get-docker.sh and sudo sh get-docker.sh"
"What do the curl flags -fsSL mean in the Docker installation script?","-f: Fail silently on HTTP errors -s: Silent mode -S: Show errors -L: Follow redirects."
"What command verifies Docker installation?","docker version"
"What command tests Docker installation?","sudo docker run docker/whalesay cowsay ""Hello World"""
"What does the docker/whalesay test command do?","Runs a container that displays an ASCII art whale saying ""Hello World"" pulling the image from Docker Hub if not present locally."
"What is Docker's default installation directory?","/var/lib/docker/"
"What are the main subdirectories in Docker's installation directory?","aufs/ containers/ image/ volumes/ and other directories."
"What does the containers/ directory store?","Files related to running containers."
"What does the image/ directory store?","Image files."
"What does the volumes/ directory store?","Volumes created by containers."
"What is the basic syntax of the docker run command?","docker run <image_name>"
"What happens when you run ""docker run nginx"" for the first time?","Docker checks if image exists locally if not found pulls from Docker Hub (docker pull nginx) creates a container from the image and starts the container."
"What command lists all currently running containers?","docker ps"
"What information does ""docker ps"" show?","Container ID Image Command Created time Status Ports and Name."
"What command lists all containers including stopped ones?","docker ps -a"
"What is the command to stop a running container?","docker stop tainer_id_or_name>"
"Can you use partial container IDs with docker stop?","Yes as long as the partial ID is unique."
"What signal does ""docker stop"" send to the main process?","SIGTERM signal."
"What happens to a container's status after docker stop?","Container status changes to ""Exited"" but the container still exists."
"What command permanently deletes a stopped container?","docker rm tainer_id_or_name>"
"What must be true before removing a container?","The container must be stopped first."
"What command lists all Docker images?","docker images"
"What information does ""docker images"" display?","REPOSITORY (image name) TAG (version tag) IMAGE ID (unique identifier) CREATED (when the image was created) and SIZE (image size)."
"What command removes a Docker image?","docker rmi <image_name>"
"What is required before removing a Docker image?","No containers (running or stopped) must be using this image - all dependent containers must be deleted first."
"What command downloads an image without running it?","docker pull <image_name>"
"What is the benefit of using docker pull?","Downloads image to local system for pre-fetching so subsequent docker run commands won't need to download."
"What command executes a command inside a running container?","docker exec tainer_id_or_name> mmand>"
"What are use cases for docker exec?","Debugging checking files inside container and running administrative commands."
"What happens when you run ""docker run ubuntu""?","Docker creates container from Ubuntu image starts the container Ubuntu's default command (bash) runs bash finds no terminal and exits immediately and container stops."
"Why do containers exit when their process completes?","Containers are NOT meant to host operating systems - they run a specific task/process and live only as long as the process inside it. When process stops/crashes container exits."
"How can you keep a container running with a custom command?","Use ""docker run ubuntu sleep 5"" to override the default command."
"What is the difference between attached and detached mode in Docker?","Attached mode (default) runs container in foreground with terminal showing output and blocked while detached mode runs container in background with terminal free."
"What flag runs a container in detached mode?","-d or --detach"
"What does ""docker run -d"" return?","Returns the container ID and returns to prompt immediately."
"What command re-attaches to a detached container?","docker attach tainer_id_or_name>"
"What flag enables interactive mode in Docker?","-i or --interactive"
"What does the -i flag do?","Keeps STDIN open so the container can accept input."
"What does the -t flag do in Docker?","Provides a pseudo-TTY (terminal)."
"What is the purpose of using -it together?","Provides full interactive terminal where the prompt is displayed properly."
"What is port mapping in Docker?","Mapping container ports to host ports to access containerized applications from outside."
"What is the format for the -p port mapping flag?","-p <host_port>:tainer_port>"
"What does ""docker run -p 80:5000 kodekloud/simple-webapp"" do?","Maps port 80 on Docker host to port 5000 inside container so traffic to host:80 is forwarded to container:5000."
"Can you map the same host port twice?","No each instance must be accessible on a different host port."
"What is volume mapping in Docker?","Persisting data outside containers so it survives container deletion by mounting host directories to container directories."
"What is the format for the -v volume mapping flag?","-v <host_path>:tainer_path>"
"What does ""docker run -v /opt/datadir:/var/lib/mysql mysql"" do?","Mounts /opt/datadir from host to /var/lib/mysql in container so data written to container path is actually stored on host path and persists after container deletion."
"What command gets detailed information about a container?","docker inspect tainer_id_or_name>"
"What format does docker inspect return data in?","JSON format with complete container configuration including state network settings mounts and environment variables."
"What command views logs from a detached container?","docker logs tainer_id_or_name>"
"What does docker logs show?","Shows all output written to STDOUT by container equivalent to terminal output in attached mode."
"What is the Docker image naming convention?","<username>/<repository>:<tag>"
"What is the default tag if none is specified?","latest"
"Where can you find available tags for Docker images?","Visit Docker Hub (https://hub.docker.com) search for image and check the ""Tags"" tab."
"What is a Dockerfile?","A file containing instructions to build a Docker image."
"What is the format for Dockerfile instructions?","INSTRUCTION arguments (instructions in uppercase)."
"What are the main Dockerfile instructions?","FROM RUN COPY ADD WORKDIR ENV EXPOSE CMD ENTRYPOINT."
"What does the FROM instruction do?","Defines the base OS for the container - every Dockerfile MUST start with FROM."
"What does the RUN instruction do?","Executes commands during image build running on the base image with each RUN creating a new layer."
"What does the COPY instruction do?","Copies files from host to image with format COPY <source> <destination>."
"What does the ENTRYPOINT instruction do?","Specifies the command to run when container starts."
"What is the command to build a Docker image?","docker build -t <tag_name> <build_context>"
"What does the -t flag do in docker build?","Tags the image with a name."
"What does the ""."" represent in ""docker build -t myapp .""?","Build context (current directory where Dockerfile is located)."
"What is Docker's layered architecture?","Docker builds images in layers where each instruction creates a new layer stacked on top of previous layers."
"What command shows the layer history of an image?","docker history <image_name>"
"How does Docker's build cache work?","Docker caches layers to speed up rebuilds - only rebuilds changed layers and layers after them."
"What happens when only source code changes in a Dockerfile?","Earlier layers (OS dependencies) are cached and only the COPY layer and subsequent layers are rebuilt."
"What is the command to push an image to Docker Hub?","docker push <image_name>"
"What format must an image be tagged with to push to Docker Hub?","<dockerhub_username>/<repository>:<tag>"
"What must you do before pushing to Docker Hub?","Must be logged in using ""docker login""."
"What flag sets environment variables when running a container?","-e or --env"
"What is the format for setting environment variables?","-e KEY=VALUE"
"How can you set multiple environment variables?","Use multiple -e flags: docker run -e VAR1=value1 -e VAR2=value2 image_name"
"How can you inspect environment variables of a running container?","Use ""docker inspect tainer_name>"" and look at the ""Config.Env"" section."
"What does the CMD instruction specify?","The default command to run when container starts."
"Why does an Ubuntu container exit immediately?","The default CMD is ""bash"" which finds no terminal in non-interactive mode and exits immediately causing the container to stop."
"What happens when you run the command `docker run ubuntu` without any arguments?","The container starts and immediately exits."
"Why does the default Ubuntu container exit immediately upon running?","Because the default `CMD` is `bash` which requires a terminal. Docker doesn't attach one by default so bash exits."
"Which Docker command allows you to verify that a container has exited?","`docker ps -a`"
"What happens when you run `docker run ubuntu sleep 5`?","The command `sleep 5` overrides the default `bash` CMD the container sleeps for 5 seconds and then exits."
"What are the two formats for defining a `CMD` in a Dockerfile?","Shell Form (`CMD command param`) and Exec Form (`CMD [""executable"" ""param""]`)."
"Which `CMD` format is preferred in Dockerfiles?","The Exec Form (JSON Array)."
"In the JSON Array (Exec) format for `CMD` what must the first element be?","The executable."
"What happens if you run `docker run ubuntu-sleeper 10` against an image defined with only `CMD [""sleep"" ""5""]`?","The argument `10` completely replaces `sleep 5` causing an error because `10` is not a valid executable."
"What is the primary purpose of the `ENTRYPOINT` instruction?","It defines the executable that will run when the container starts while allowing parameters to be appended."
"If a Dockerfile has `ENTRYPOINT [""sleep""]` what happens when you run `docker run ubuntu-sleeper 10`?","The argument `10` is appended to the entrypoint resulting in the command `sleep 10`."
"Can the `ENTRYPOINT` instruction be overridden by default command-line arguments?","No command-line arguments are appended to it (unless a specific flag is used)."
"How can you provide a default value to an `ENTRYPOINT` instruction?","By using a `CMD` instruction to specify the default parameters."
"If a Dockerfile contains `ENTRYPOINT [""sleep""]` and `CMD [""5""]` what command runs by default?","`sleep 5`"
"If a Dockerfile contains `ENTRYPOINT [""sleep""]` and `CMD [""5""]` what command runs if the user executes `docker run ... 10`?","`sleep 10` (the command line argument overrides the CMD value)."
"What is the syntax requirement when combining `ENTRYPOINT` and `CMD`?","Both instructions must be in the JSON array (Exec) format."
"Which flag allows you to override the `ENTRYPOINT` at runtime?","`--entrypoint`"
"Write the command to override the entrypoint of `ubuntu-sleeper` to `sleep2.0`.","`docker run --entrypoint sleep2.0 ubuntu-sleeper 10`"
"What are the three default networks Docker creates upon installation?","Bridge Host and None."
"What command is used to list all Docker networks?","`docker network ls`"
"What is the default network driver attached to new containers?","The Bridge network."
"What is the typical internal IP range for the default bridge network?","172.17.x.x"
"Can containers on the same bridge network communicate with each other?","Yes they can communicate using their internal IPs."
"How do you make a container on a bridge network accessible from an external network?","By using port mapping (e.g. `-p 8080:80`)."
"What is the characteristic of the Host network driver?","It removes network isolation allowing the container to use the host's network stack directly."
"Is port mapping required when using the Host network?","No the container's port is directly accessible on the host."
"What is a major limitation of using the Host network?","You cannot run multiple containers listening on the same port on a single host."
"What is the characteristic of the None network?","The container is completely isolated with no external network access or communication with other containers."
"What is the command to create a custom bridge network?","`docker network create --driver bridge [network_name]`"
"Which flag is used to specify a custom subnet during network creation?","`--subnet` (e.g. `--subnet 182.18.0.0/16`)"
"How do you assign a container to a specific network at runtime?","Use the `--network` flag (e.g. `--network=custom-network`)."
"Which command allows you to inspect network settings like IP address and Gateway?","`docker inspect tainer_name_or_id>`"
"How does Docker handle DNS resolution between containers?","It uses a built-in DNS server (at 127.0.0.11) to resolve container names to their internal IPs."
"Why is hardcoding container IPs in application code considered bad practice?","Because internal IPs can change whenever containers are restarted."
"What is the modern way to allow containers to communicate by name?","Place them on a user-defined custom network and use their container names (Docker DNS handles the resolution)."
"What Linux technology does Docker use to implement network isolation?","Network Namespaces (and virtual ethernet pairs)."
"What is the default directory where Docker stores data on Linux?","`/var/lib/docker/`"
"What are the four main subdirectories found in the Docker storage directory?","`aufs` (or current driver) `containers` `image` and `volumes`."
"How are Docker images structured architecturally?","They are built in a series of read-only layers."
"What is added to the layered architecture when a container is started?","A read-write ""Container Layer"" is added on top of the image layers."
"How does Docker optimize storage when multiple images share the same base?","It reuses the underlying shared layers rather than duplicating them."
"What happens to the data in the Container Layer (read-write) when the container is deleted?","It is permanently deleted."
"Explain the ""Copy-on-Write"" mechanism in Docker.","When a container needs to modify a read-only file from an image layer Docker first copies the file to the writable layer and modifications are made to the copy."
"What command is used to create a persistent volume?","`docker volume create <volume_name>`"
"Where are Docker volumes physically stored on the host?","`/var/lib/docker/volumes/`"
"What syntax is used to mount a named volume to a container?","`docker run -v volume_name:/path/in/container image_name`"
"What is a Bind Mount?","A mount that maps a specific user-specified directory on the host to a path inside the container."
"How does the syntax of `-v` distinguish between a Volume and a Bind Mount?","If the source is a name (e.g. `data_vol`) it's a Volume. If it's a path (e.g. `/data/mysql`) it's a Bind Mount."
"What is the newer more verbose syntax preferred for mounting volumes?","The `--mount` flag."
"Write an example of a bind mount using the `--mount` syntax.","`docker run --mount type=bind,source=/data/mysql,target=/var/lib/mysql mysql`"
"What is the role of Storage Drivers in Docker?","They manage the layered architecture the writable container layer and the copy-on-write strategy."
"List three common Docker Storage Drivers.","AUFS Overlay2 and Device Mapper (others include BTRFS ZFS)."
"What is the primary purpose of Docker Compose?","To define and run multi-container applications using a YAML configuration file."
"What command is used to start a multi-container application defined in a Compose file?","`docker-compose up`"
"Under which key are containers defined in a `docker-compose.yml` file?","`services`"
"How do you instruct Docker Compose to build an image from a local directory instead of pulling it?","Use `build: ./path/to/directory` instead of the `image:` key."
"What was a major requirement for container communication in Docker Compose Version 1?","Containers had to be manually linked using the `links` key."
"What key feature was introduced in Docker Compose Version 2 regarding networking?","Automatic creation of a dedicated bridge network where all services can communicate by name."
"What instruction in Docker Compose Version 2 allows you to specify startup order?","`depends_on`"
"What is the main feature introduced in Docker Compose Version 3?","Support for Docker Swarm and stack deployment."
"How do you define a custom network in a `docker-compose.yml` file?","Define a top-level `networks` key and then assign services to those networks under their respective `networks` key."
"In a Compose file which syntax maps host port 5000 to container port 80?","`ports: - ""5000:80""`"
"In a docker-compose.yml file what network is assigned to the frontend section?","A network named ""frontend"""
"In a docker-compose.yml file what network is assigned to the backend section?","A network named ""backend"""
"Which two networks is the vote service connected to in a docker-compose configuration?","frontend and backend"
"What are the three benefits of using multiple networks in Docker Compose?","Isolate traffic types Security boundaries and Organized architecture"
"What command runs Docker Compose services with networks?","docker-compose up"
"What two networks does Docker automatically create when running docker-compose up for a project?","project_frontend network and project_backend network"
"What is a Docker Registry?","A repository for storing and distributing Docker images"
"What is the full Docker image naming convention format?","[registry]/[username]/[repository]:[tag]"
"What does the short format ""nginx"" expand to in Docker image naming?","docker.io/library/nginx:latest"
"In the image name ""docker.io/nginx/nginx:latest"" what does ""docker.io"" represent?","Registry DNS name (Docker Hub)"
"In the image name ""docker.io/nginx/nginx:latest"" what does the first ""nginx"" represent?","Username/Organization (library is default)"
"In the image name ""docker.io/nginx/nginx:latest"" what does the second ""nginx"" represent?","Repository name"
"In the image name ""docker.io/nginx/nginx:latest"" what does ""latest"" represent?","Tag/Version"
"What is the DNS name for Docker Hub?","docker.io"
"What three types of images are available on Docker Hub?","Official images from vendors Community images and images from the default public registry"
